para_name,para_value,torque_down,torque_up,x[0],x[1],x[2],x[3],x[4],x[5],x[6]
tendonThickness,1.6444444444444444,29.98433010653711,-13.357261949171848,25,25,30,1.6444444444444444,1.6,2.0,1.0
tendonThickness,1.8222222222222224,31.925074675900035,-13.657501468210539,25,25,30,1.8222222222222224,1.6,2.0,1.0
tendonThickness,2.0,33.73916197728587,-13.820235010778315,25,25,30,2.0,1.6,2.0,1.0
tendonWidth,0.4,7.444160401480507,-0.0343719646973743,25,25,30,1.0,0.4,2.0,1.0
tendonWidth,0.9111111111111111,14.148330325905661,-5.897911247007781,25,25,30,1.0,0.9111111111111111,2.0,1.0
tendonWidth,1.422222222222222,19.798663919912293,-9.81266293364529,25,25,30,1.0,1.422222222222222,2.0,1.0
tendonWidth,1.9333333333333331,24.557490651734046,-11.854627289978648,25,25,30,1.0,1.9333333333333331,2.0,1.0
tendonWidth,2.444444444444444,28.632802721350203,-13.067355089393109,25,25,30,1.0,2.444444444444444,2.0,1.0
tendonWidth,2.9555555555555553,32.18746303062713,-13.691518755238269,25,25,30,1.0,2.9555555555555553,2.0,1.0
tendonWidth,3.4666666666666663,35.33881939056376,-13.856495368383445,25,25,30,1.0,3.4666666666666663,2.0,1.0
tendonWidth,3.9777777777777774,38.17077206258848,-13.666226443882778,25,25,30,1.0,3.9777777777777774,2.0,1.0
tendonWidth,4.488888888888889,40.744354051005644,-13.238317769008288,25,25,30,1.0,4.488888888888889,2.0,1.0
tendonWidth,5.0,43.10473855367291,-12.63038709019664,25,25,30,1.0,5.0,2.0,1.0
hingeLength,1.1,25.909599534360876,9.760848376708525,25,25,30,1.0,1.6,1.1,1.0
hingeLength,1.3111111111111111,23.744858333093195,-0.2163658500285326,25,25,30,1.0,1.6,1.3111111111111111,1.0
hingeLength,1.5222222222222224,22.632691645096696,-5.534757608133508,25,25,30,1.0,1.6,1.5222222222222224,1.0
hingeLength,1.7333333333333334,22.00272828053343,-8.511010180830409,25,25,30,1.0,1.6,1.7333333333333334,1.0
hingeLength,1.9444444444444446,21.619062690978858,-10.305169210889323,25,25,30,1.0,1.6,1.9444444444444446,1.0
hingeLength,2.155555555555556,21.372090593011734,-11.45354881964972,25,25,30,1.0,1.6,2.155555555555556,1.0
hingeLength,2.3666666666666667,21.205835980791196,-12.22427223332315,25,25,30,1.0,1.6,2.3666666666666667,1.0
hingeLength,2.577777777777778,21.089852208668063,-12.76091763186,25,25,30,1.0,1.6,2.577777777777778,1.0
hingeLength,2.7888888888888888,21.006422543641808,-13.146206168642214,25,25,30,1.0,1.6,2.7888888888888888,1.0
hingeLength,3.0,20.944939156856858,-13.42982934695514,25,25,30,1.0,1.6,3.0,1.0
hingeThickness,0.4,20.74818100835203,-14.33646487081848,25,25,30,1.0,1.6,2.0,0.4
hingeThickness,0.5444444444444445,20.83058785917052,-13.956874263023114,25,25,30,1.0,1.6,2.0,0.5444444444444445
hingeThickness,0.6888888888888889,20.970893287091542,-13.30986731619913,25,25,30,1.0,1.6,2.0,0.6888888888888889
hingeThickness,0.8333333333333333,21.184758360616247,-12.321652049766692,25,25,30,1.0,1.6,2.0,0.8333333333333333
hingeThickness,0.9777777777777777,21.48810629177526,-10.914840781356718,25,25,30,1.0,1.6,2.0,0.9777777777777777
hingeThickness,1.1222222222222222,21.897315855203853,-9.005168617718157,25,25,30,1.0,1.6,2.0,1.1222222222222222
hingeThickness,1.2666666666666666,22.429350355634526,-6.499561265971278,25,25,30,1.0,1.6,2.0,1.2666666666666666
hingeThickness,1.411111111111111,23.101549937052322,-3.2980678494962596,25,25,30,1.0,1.6,2.0,1.411111111111111
hingeThickness,1.5555555555555554,23.93209712438248,0.679084163672156,25,25,30,1.0,1.6,2.0,1.5555555555555554
hingeThickness,1.6999999999999997,24.939730532831394,5.424650440621757,25,25,30,1.0,1.6,2.0,1.6999999999999997
